,Difference,Weighted score
114,"({'0x8c4440120401000a'}, {'0x802824001180806016ee'})",{3.4047}
115,"({'0x784000008190000c'}, {'0x80200c004a810026174a'})",{3.4109}
116,"({'0x98409005c0a35882'}, {'0x9c18cc850b1080260790'})",{3.4125}
117,"({'0xb85010b4250440bb'}, {'0x843828c4480588227adb'})",{3.4244}
118,"({'0x4001000000008'}, {'0x80200000492000421878'})",{3.4244}
119,"({'0x5c4000114080000e'}, {'0x9438c8005311004650f3'})",{3.4378}
120,"({'0x444500284a10094'}, {'0x900808c5511100641a61'})",{3.4506}
121,"({'0xc004401100010088'}, {'0x9080040048b1000047d9'})",{3.4669}
122,"({'0x80401010c1910096'}, {'0x9418c8c45331004608d2'})",{3.5025}
123,"({'0x44041000c0a0009c'}, {'0x84080cc5132100444acc'})",{3.5041}
124,"({'0xd404c82640039818'}, {'0x58808c45199208885480'})",{3.5075}
125,"({'0x8004001000010008'}, {'0x80000000422000420022'})",{3.5206}
126,"({'0xd000481100800080'}, {'0x1000ec0440100006415c'})",{3.5359}
127,"({'0x40001204000080'}, {'0x8410000000810000024e'})",{3.5609}
128,"({'0x4040400140010088'}, {'0x900004004230002000bf'})",{3.5641}
129,"({'0x8004101040000000'}, {'0x90000000001100020536'})",{3.6213}
130,"({'0x8004001000000008'}, {'0xe000082000020568'})",{3.6375}
131,"({'0x8004001000000008'}, {'0x8020000043200042185e'})",{3.6431}
132,"({'0x8044001000000008'}, {'0x800000004821002205ef'})",{3.6553}
133,"({'0x4004501140000080'}, {'0x802004000b80002056de'})",{3.7281}
134,"({'0x8004000000010088'}, {'0x8410000042a0004203ec'})",{3.7759}
135,"({'0x8004001000000008'}, {'0x8000000048200022046b'})",{3.8147}
136,"({'0x10080'}, {'0x8000c0004a0000200146'})",{3.8178}
137,"({'0x8800000000000008'}, {'0x4000a0000041bd7'})",{3.8478}
138,"({'0x800400080000008'}, {'0x400000000001b92'})",{3.89}
139,"({'0x8004000000010080'}, {'0x801000000a0000600502'})",{3.8969}
140,"({'0x40000000'}, {'0x800000000a0000200467'})",{3.9938}
141,"({'0x4000000010000'}, {'0x801008000a000000011d'})",{4.0059}
142,"({'0x8004000040000000'}, {'0x809000000a000020053a'})",{4.0541}
143,"({'0x8'}, {'0x48a0002206ee'})",{4.1384}
144,"({'0x8004000000000000'}, {'0x80100000010000001953'})",{4.1553}
145,"({'0x8004000040000000'}, {'0x1000000a000020053a'})",{4.1581}
146,"({'0x800000000000008'}, {'0x400000000001bb1'})",{4.1663}
147,"({'0x8004000000010080'}, {'0x801000000a0000000118'})",{4.2153}
148,"({'0x8000000000010000'}, {'0xa0000000040'})",{4.3797}
149,"({'0x8000000000010000'}, {'0xb000000185a'})",{4.4306}
150,"({'0x4000400000000080'}, {'0x35'})",{4.4341}
151,"({'0x10000'}, {'0x800000000a0000000053'})",{4.4834}
152,"({'0x404000000000000'}, {'0x800000000a00000002c3'})",{4.5072}
153,"({'0x8000000000000000'}, {'0xa0000000066'})",{4.5781}
154,"({'0x10000'}, {'0xa0000600449'})",{4.6456}
155,"({'0x8004000000000000'}, {'0x8010000000000000015d'})",{4.8209}
156,"({'0x8000000000000000'}, {'0x80000000000000200401'})",{5.3472}
157,"({'0x8000000000100000'}, {'0x800000000010000010a0'})",{5.3566}
158,"({'0x8000000000100000'}, {'0x80000000001000000090'})",{5.5003}
159,"({'0x8000000000100000'}, {'0x800000000010000000b0'})",{5.5041}
160,"({'0x0'}, {'0x10000001818'})",{5.5122}
161,"({'0x8000000000100000'}, {'0x80000000001000000080'})",{5.515}
162,"({'0x40000000000000'}, {'0x184'})",{5.5306}
163,"({'0x8000000000100000'}, {'0x800000000010000000a0'})",{5.5584}
164,"({'0x8000000000100000'}, {'0x80000000001000000020'})",{5.7225}
165,"({'0x8000000000000000'}, {'0x80000000000000001a20'})",{5.8}
166,"({'0x8000000000000000'}, {'0x80000000000000001082'})",{5.8072}
167,"({'0x8000000000000000'}, {'0x80000000000000001200'})",{5.8084}
168,"({'0x8000000000000000'}, {'0x80000000000000001020'})",{5.8225}
169,"({'0x8000000000000000'}, {'0x80000000000000001300'})",{5.8425}
170,"({'0x8000000000000000'}, {'0x80000000000000000310'})",{5.8853}
171,"({'0x8000000000000000'}, {'0x800000000000000010a4'})",{5.9463}
172,"({'0x8000000000000000'}, {'0x800000000000000002a0'})",{5.9656}
173,"({'0x8000000000000000'}, {'0x800000000000000000b0'})",{5.9725}
174,"({'0x8000000000000000'}, {'0x800000000000000000a0'})",{5.9753}
175,"({'0x8000000000000000'}, {'0x80000000000000001010'})",{6.0194}
176,"({'0x8000000000000000'}, {'0x80000000000000000220'})",{6.0316}
177,"({'0x8000000000000000'}, {'0x80000000000000000230'})",{6.0356}
178,"({'0x8200000000000000'}, {'0x82000000000000002004'})",{6.0381}
179,"({'0x8000000000000000'}, {'0x80000000000000000221'})",{6.1112}
180,"({'0x8200000000000000'}, {'0x82000000000000000024'})",{6.1231}
181,"({'0x8200000000000000'}, {'0x82000000000000000080'})",{6.1256}
182,"({'0x8200000000000000'}, {'0x82000000000000000014'})",{6.2097}
183,"({'0x8200000000000000'}, {'0x82000000000000000011'})",{6.2462}
184,"({'0x8000000000000000'}, {'0x80000000000000000080'})",{6.2503}
185,"({'0x8000000000000000'}, {'0x8000000000000000102c'})",{6.37}
186,"({'0x8000000000000000'}, {'0x80000000000000000030'})",{6.395}
187,"({'0x0'}, {'0x1a80'})",{6.5612}
188,"({'0x8000000000000000'}, {'0x80000000000000000034'})",{6.6472}
189,"({'0x8000000000000000'}, {'0x80000000000000000013'})",{6.6791}
190,"({'0x0'}, {'0x120'})",{6.6959}
191,"({'0x0'}, {'0x2b0'})",{6.9331}
192,"({'0x0'}, {'0x4000'})",{6.9838}
193,"({'0x0'}, {'0x400'})",{7.1419}
194,"({'0x0'}, {'0x148'})",{7.1544}
