,Difference,Weighted score
360,{'0x281477bd'},{11.5544}
361,{'0xa5cf319a'},{11.555}
362,{'0x9567'},{11.5588}
363,{'0x8c29be4b'},{11.5594}
364,{'0xa0090534'},{11.5625}
365,{'0xa39a31f6'},{11.565}
366,{'0xa5875aa'},{11.5731}
367,{'0xac30215a'},{11.5844}
368,{'0x7de9'},{11.5994}
369,{'0x4889d150'},{11.6044}
370,{'0x91112'},{11.6081}
371,{'0x2305c46f'},{11.6094}
372,{'0xb1a4fbd3'},{11.6225}
373,{'0xe520c839'},{11.6269}
374,{'0xf634057b'},{11.6337}
375,{'0x6311c1c6'},{11.6362}
376,{'0x4669c416'},{11.6425}
377,{'0x127f8921'},{11.6488}
378,{'0x3ac4fac7'},{11.6525}
379,{'0x5b89ef89'},{11.6563}
380,{'0xc381e862'},{11.6631}
381,{'0x7d604415'},{11.665}
382,{'0xc1cad11c'},{11.6706}
383,{'0xb7a84960'},{11.6713}
384,{'0x7d614455'},{11.6831}
385,{'0x96e7813f'},{11.6887}
386,{'0x43ef'},{11.7069}
387,{'0xff73'},{11.7069}
388,{'0xef21153f'},{11.71}
389,{'0xdb692434'},{11.7106}
390,{'0x6d25d67e'},{11.7244}
391,{'0xd8affab9'},{11.7269}
392,{'0xcb45af90'},{11.73}
393,{'0x9e8812f6'},{11.7325}
394,{'0xba94f380'},{11.735}
395,{'0xb1ef85ac'},{11.7438}
396,{'0x7548130a'},{11.7444}
397,{'0xea3b2f5a'},{11.745}
398,{'0x3500e246'},{11.7488}
399,{'0x9ec0'},{11.7512}
400,{'0xf2545098'},{11.7681}
401,{'0x771dd75'},{11.7688}
402,{'0x1185e4a3'},{11.7994}
403,{'0x2e8096c3'},{11.8013}
404,{'0x201443e8'},{11.8231}
405,{'0xe30948d1'},{11.8244}
406,{'0x48e1825a'},{11.8469}
407,{'0x87e2'},{11.8631}
408,{'0xc36c'},{11.8669}
409,{'0x401ad026'},{11.8756}
410,{'0x6c4c882f'},{11.8944}
411,{'0x5ceb'},{11.8994}
412,{'0x360e74ed'},{11.9106}
413,{'0xac10215a'},{11.9181}
414,{'0x4279'},{11.9194}
415,{'0x8256'},{11.935}
416,{'0x8356'},{11.9375}
417,{'0xe8496f3'},{11.9425}
418,{'0x6e2c'},{11.9863}
419,{'0x5a45b725'},{12.0081}
420,{'0x7010f72c'},{12.0088}
421,{'0x9a2c'},{12.025}
422,{'0x8201a00a'},{12.04}
423,{'0xcf396225'},{12.0588}
424,{'0xda59939c'},{12.0694}
425,{'0x99f2'},{12.0844}
426,{'0x160a87'},{12.0894}
427,{'0x2142a422'},{12.0963}
428,{'0x202a90f0'},{12.1256}
429,{'0x83d6'},{12.1406}
430,{'0x67f4'},{12.1588}
431,{'0x59f2'},{12.1663}
432,{'0x9ec2'},{12.1712}
433,{'0x434ccfe1'},{12.1831}
434,{'0xb8868f9'},{12.1919}
435,{'0x1c42fc'},{12.2044}
436,{'0x310a034a'},{12.2306}
437,{'0xa156'},{12.3069}
438,{'0x9fc0'},{12.3544}
439,{'0x6145'},{12.375}
440,{'0xa229'},{12.3944}
441,{'0x1802a8'},{12.4544}
442,{'0x7d44'},{12.4794}
443,{'0xc116c624'},{12.5169}
444,{'0x802000e'},{12.555}
445,{'0x90b2'},{12.5956}
446,{'0x10002010'},{12.7013}
447,{'0x20047'},{13.4425}
448,{'0x2002'},{13.6281}
449,{'0x100220'},{13.9081}
450,{'0x80114'},{13.9375}
451,{'0x840'},{13.975}
452,{'0x1080'},{14.0156}
453,{'0x1080310'},{14.045}
454,{'0x8400'},{14.2969}
455,{'0x84'},{14.3206}
456,{'0x8010'},{14.3644}
457,{'0x20046'},{14.3644}
458,{'0x100020'},{14.3762}
459,{'0x1002'},{14.3769}
460,{'0x2100'},{14.3825}
461,{'0x20004000'},{14.4006}
462,{'0x801180'},{14.4012}
463,{'0x2004'},{14.4162}
464,{'0x40088'},{14.465}
465,{'0x2000400'},{14.49}
466,{'0x20006'},{14.4912}
467,{'0x80110'},{14.5031}
468,{'0x400080'},{14.5538}
469,{'0x4008c0'},{14.5638}
470,{'0x20004'},{14.6281}
471,{'0x108'},{14.6475}
472,{'0x10002'},{14.6506}
473,{'0x4008c'},{14.6838}
474,{'0x42'},{14.6881}
475,{'0x801'},{14.7006}
476,{'0x80118'},{14.7006}
477,{'0x20006000'},{14.7044}
478,{'0x100030'},{14.7169}
479,{'0x21'},{14.7375}
480,{'0x100230'},{14.7481}
481,{'0x210'},{14.7725}
482,{'0x40008008'},{14.7975}
483,{'0x80000001'},{14.8044}
484,{'0x800180'},{14.8856}
485,{'0x4200'},{14.9025}
486,{'0x2004400'},{14.92}
487,{'0x4008'},{14.9463}
488,{'0x2004600'},{14.9475}
489,{'0x10023'},{14.9775}
490,{'0x4000c000'},{14.9969}
491,{'0x20044'},{15.0175}
492,{'0x800100'},{15.05}
493,{'0x1002200'},{15.0837}
494,{'0x1002300'},{15.1388}
495,{'0x10022'},{15.1406}
496,{'0x10002000'},{15.1525}
497,{'0x10003'},{15.1656}
498,{'0x801100'},{15.1825}
499,{'0x4000c0'},{15.4237}
500,{'0x80018'},{15.4444}
501,{'0x4'},{15.53}
502,{'0x1000'},{15.5325}
503,{'0x80'},{15.5675}
504,{'0x4000c'},{15.6456}
505,{'0x2000600'},{15.6575}
506,{'0x40008000'},{15.6619}
507,{'0x420'},{15.6706}
508,{'0x1000300'},{15.7194}
509,{'0x10'},{15.7919}
510,{'0x8'},{15.8025}
511,{'0x1000200'},{15.8513}
512,{'0x4000'},{15.9069}
513,{'0x400'},{15.9319}
514,{'0x1'},{15.9688}
515,{'0x8000'},{16.1306}
516,{'0x2000'},{16.1825}
517,{'0x800'},{16.2606}
518,{'0x2'},{16.2644}
519,{'0x200'},{16.3694}
520,{'0x20'},{16.3931}
521,{'0x100'},{16.4281}
522,{'0x40'},{16.7156}
