bit,silhouette_true,silhouette_kmeans,kmeans_inertia,evr_sum2
33,0.0005394270410761237,0.3058658242225647,4229.96240234375,0.012942781671881676
34,0.0007371033425442874,0.31042546033859253,4134.103515625,0.012764370068907738
35,0.0005488901515491307,0.3054502010345459,4173.81005859375,0.01281057484447956
36,1.9721872376976535e-05,0.3045734465122223,4191.89306640625,0.012864610180258751
37,0.014513758942484856,0.3073318898677826,4520.24072265625,0.013811066746711731
38,0.07247261703014374,0.36261776089668274,5840.36474609375,0.01900370791554451
39,0.018496982753276825,0.30599620938301086,4614.66796875,0.014080177061259747
40,0.01476676482707262,0.3116683065891266,4523.521484375,0.014008928090333939
41,0.002476953901350498,0.3069065511226654,4304.29443359375,0.013227634131908417
42,7.997969078132883e-05,0.30850473046302795,4236.7578125,0.013071874156594276
43,0.0002910920593421906,0.3111687898635864,4155.32568359375,0.012854792177677155
44,-3.265651685069315e-05,0.30778735876083374,4138.3271484375,0.012735113501548767
45,0.005929665174335241,0.31380000710487366,4277.28271484375,0.013273030519485474
46,0.00589720020070672,0.3100827932357788,4232.7197265625,0.01307997852563858
47,0.0004267666954547167,0.30610141158103943,4225.80615234375,0.012968579307198524
48,0.00020092334307264537,0.3056580424308777,4196.5390625,0.012873923406004906
49,0.007271128240972757,0.3062317669391632,4342.6181640625,0.01336308941245079
50,0.00022602424724027514,0.3082274794578552,4215.85107421875,0.012969253584742546
51,0.00026936709764413536,0.304677277803421,4193.07958984375,0.012865619733929634
52,0.0011667808284983039,0.308820903301239,4215.75732421875,0.012993212789297104
53,0.012867984361946583,0.3118666708469391,4519.060546875,0.013982092030346394
54,0.006173735950142145,0.30865058302879333,4328.376953125,0.013381816446781158
55,0.004823716357350349,0.30785781145095825,4264.3740234375,0.013141677714884281
56,0.0027732555754482746,0.30431461334228516,4266.89892578125,0.013054115697741508
57,0.019005080685019493,0.31230220198631287,4483.63525390625,0.014004124328494072
58,0.007466058246791363,0.3141210377216339,4316.36865234375,0.013421907089650631
59,0.006268657278269529,0.3073939383029938,4333.88623046875,0.013316954486072063
60,0.000776313419919461,0.307445764541626,4177.01904296875,0.012843326665461063
61,7.584050308651058e-06,0.30595338344573975,4149.58837890625,0.01272299513220787
62,-7.551372982561588e-05,0.30580124258995056,4152.4736328125,0.012722628191113472
63,0.0006761357071809471,0.3088034689426422,4128.40478515625,0.012708276510238647
64,0.07021524757146835,0.3703822195529938,6101.064453125,0.019984673708677292
